suburb,postcode,state,state_name,lat,lng
Wundowie,6560,WA,Western Australia,-31.75653,116.38075
Bakers Hill,6562,WA,Western Australia,-31.73186,116.44977
Kalbarri,6536,WA,Western Australia,-27.68045,114.20205
Northampton,6535,WA,Western Australia,-28.35134,114.61931
Perenjori,6620,WA,Western Australia,-29.44596,116.2939
Pingelly,6308,WA,Western Australia,-32.52856,117.08222
Mount Barker,6324,WA,Western Australia,-34.62314,117.63778
Port Hedland,6721,WA,Western Australia,-20.3409,118.63266
South Hedland,6722,WA,Western Australia,-20.40482,118.60036
Wedgefield,6721,WA,Western Australia,-20.3608,118.60199
Redbank,6721,WA,Western Australia,-20.33797,118.61216
Hopetoun,6348,WA,Western Australia,-33.8611,120.09217
Nickol,6714,WA,Western Australia,-20.73859,116.80234
Karratha Industrial Estate,6714,WA,Western Australia,-20.76158,116.88058
Bulgarra,6714,WA,Western Australia,-20.72572,116.85744
Roebourne,6718,WA,Western Australia,-20.75676,117.17836
Point Samson,6720,WA,Western Australia,-20.59933,117.16715
Stove Hill,6714,WA,Western Australia,-20.7686,116.81947
Dampier,6713,WA,Western Australia,-20.66979,116.71133
Pegs Creek,6714,WA,Western Australia,-20.73219,116.83559
Millars Well,6714,WA,Western Australia,-20.73316,116.81754
Baynton,6714,WA,Western Australia,-20.7516,116.8022
Karratha,6714,WA,Western Australia,-20.73444,116.8449
Gap Ridge,6714,WA,Western Australia,-20.74568,116.794
Tambellup,6320,WA,Western Australia,-34.04323,117.63346
Tammin,6409,WA,Western Australia,-31.64079,117.48709
Three Springs,6519,WA,Western Australia,-29.5342,115.76409
Toodyay,6566,WA,Western Australia,-31.5713,116.42226
Wagin,6315,WA,Western Australia,-33.30369,117.34827
Waroona,6215,WA,Western Australia,-32.83325,115.8714
Darkan,6392,WA,Western Australia,-33.34251,116.74489
Wiluna,6646,WA,Western Australia,-26.33451,120.4229
Wyalkatchem,6485,WA,Western Australia,-31.27097,117.35089
Wyndham,6740,WA,Western Australia,-15.58539,128.21758
Kununurra,6743,WA,Western Australia,-15.58281,128.82768
Kalumburu,6740,WA,Western Australia,-14.29786,126.63663
York,6302,WA,Western Australia,-31.87175,116.77639
Daliak,6302,WA,Western Australia,-31.86723,116.7162
